"name","display_name","category","description","status","is_system"
"view_dental_services","View Dental Services","Dental","See the dental service catalogue","active","True"
"add_dental_services","Add Dental Service","Dental","Create a new dental service","active","True"
"edit_dental_services","Edit Dental Service","Dental","Change an existing dental service","active","True"
"delete_dental_services","Delete Dental Service","Dental","Remove a dental service from the catalogue","active","True"
"manage_dental_services","Manage Dental Services","Dental","Full control of the dental service catalogue","active","True"
"view_dental_receipts","View Dental Receipts","Dental","See the dental receipts list","active","True"
"add_dental_receipts","Add Dental Receipt","Dental","Raise a new dental receipt","active","True"
"edit_dental_receipts","Edit Dental Receipt","Dental","Change an existing dental receipt","active","True"
"delete_dental_receipts","Delete Dental Receipt","Dental","Remove a dental receipt","active","True"
"manage_dental_receipts","Manage Dental Receipts","Dental","Full control of dental receipts","active","True"
"print_dental_receipt","Print Dental Receipt","Dental","Print a dental receipt","active","True"
"manage_dental_payments","Collect Dental Payment","Dental","Take payment against a dental receipt","active","True"
"reverse_dental_payment","Reverse Dental Payment","Dental","Undo a dental payment already taken","active","True"
"view_dashboard_dental_fees","Dashboard: Dental Fees","Dental","See dental income on the dashboard","active","True"
"view_dashboard_count_dental","Dashboard: Dental Count","Dental","See the dental receipt count on the dashboard","active","True"
