category,item,action,data_risk,notes
MIGRATION,backend/database/migrations/2026_09_13_000100_add_medicine_profit_dashboard_permission.php,php artisan migrate --force,NONE,Inserts permission view_dashboard_medicine_profit. Skips if it already exists.
MIGRATION,backend/database/migrations/2026_09_13_000200_add_active_users_dashboard_permission.php,php artisan migrate --force,NONE,Inserts permission view_dashboard_active_users. Skips if it already exists.
MIGRATION,backend/database/migrations/2026_09_14_000100_add_income_and_hourly_chart_permissions.php,php artisan migrate --force,NONE,Inserts view_dashboard_chart_income and view_dashboard_chart_hourly. Skips existing.
MIGRATION,backend/database/migrations/2026_09_15_000100_add_collection_status_chart_permission.php,php artisan migrate --force,NONE,Inserts view_dashboard_chart_collection. Skips if it already exists.
MIGRATION,backend/database/migrations/2026_09_20_000100_add_min_stock_to_medicines_table.php,php artisan migrate --force,NONE,"ADD COLUMN medicines.min_stock unsignedInteger NULL after stock. Nullable with no backfill, so every existing medicine keeps its data and falls back to the hospital default."
MIGRATION,backend/database/migrations/2026_09_20_000110_add_pharmacy_report_defaults_to_hospital_settings_table.php,php artisan migrate --force,NONE,"ADD COLUMN hospital_settings.default_min_stock_packs (default 5) and short_expiry_days (default 90). New columns only."
MIGRATION,backend/database/migrations/2026_09_21_000100_add_report_desk_and_approval_permissions.php,php artisan migrate --force,NONE,Inserts 18 permissions (report desks + approve_expenses/approve_other_incomes). Insert only; skips existing.
MIGRATION,backend/database/migrations/2026_09_22_000100_add_approval_audit_to_expenses_and_other_incomes.php,php artisan migrate --force,NONE,"ADD COLUMN approved_by/approved_at/rejected_by/rejected_at on expenses and other_incomes. All nullable, no backfill. Existing vouchers keep every value they hold."
MIGRATION,backend/database/migrations/2026_09_22_000200_add_entry_date_permissions.php,php artisan migrate --force,NONE,Inserts edit_expense_date and edit_other_income_date. Insert only.
MIGRATION,backend/database/migrations/2026_09_23_000100_recategorise_accounts_permissions.php,php artisan migrate --force,NONE,"UPDATE permissions.category only, moving expense/other-income rights to Accounts. Changes a label on the roles screen. No role loses a permission."
MIGRATION,backend/database/migrations/2026_09_24_000100_retire_dead_permissions_and_regroup_collection.php,php artisan migrate --force,LOW - SEE NOTES,"THE ONLY MIGRATION THAT DELETES ROWS. Deletes 8 permission rows for screens that no longer exist: view/delete/export/import/print_discounts, view_finance_menu, export_finance, print_finance. The FK on role_has_permissions is ON DELETE CASCADE, so any role holding one loses that checkbox. Permission config only - no patient, receipt, invoice, ledger or money row is touched. Also UPDATEs category on 22 collection permissions to Accounts."
MIGRATION,backend/database/migrations/2026_09_24_000200_move_receipt_discount_permissions_to_accounts.php,php artisan migrate --force,NONE,"UPDATE permissions.category on add_discounts/edit_discounts/manage_discounts to Accounts. Label only; these three are still enforced on receipts."
MIGRATION,backend/database/migrations/2026_09_24_000300_add_missing_menu_permissions.php,php artisan migrate --force,NONE,"Inserts 5 Navigation permissions (Dental, Accounts, Reports, HR, Hospitals) and BACKFILLS a grant to every role that can already reach that menu, including the 6 menu permissions that already existed. Grants are added, never removed, so no role loses a menu."
