category,item,action,since_last_deploy,notes
MIGRATION,backend/database/migrations/2026_09_07_000100_add_default_discounts_to_hospital_settings_table.php,php artisan migrate --force,EARLIER,"Adds 5 default_discount_* columns to hospital_settings, decimal(5,2) default 0. No data change."
MIGRATION,backend/database/migrations/2026_09_07_000200_add_manage_default_discounts_permission.php,php artisan migrate --force,EARLIER,Inserts permission manage_default_discounts. Insert only.
MIGRATION,backend/database/migrations/2026_09_08_000100_add_discount_columns_to_revenue_tables.php,php artisan migrate --force,EARLIER,"Adds discount_enabled/discount_percentage/net_amount to lab_orders, ultrasound_exams, room_bookings. BACKFILLS net_amount = existing total. Verified: 949 rows, 0 discrepancies."
MIGRATION,backend/database/migrations/2026_09_08_000200_add_default_discount_room_booking.php,php artisan migrate --force,EARLIER,"Adds default_discount_room_booking to hospital_settings, default 0."
MIGRATION,backend/database/migrations/2026_09_09_000100_create_xray_types_table.php,php artisan migrate --force,EARLIER,Creates xray_types; adds nullable xray_type_id to xray_receipts with nullOnDelete. Existing receipts get NULL.
MIGRATION,backend/database/migrations/2026_09_09_000200_add_xray_type_permissions.php,php artisan migrate --force,EARLIER,Inserts 5 X-Ray type permissions. Insert only.
MIGRATION,backend/database/migrations/2026_09_10_000100_create_dental_tables.php,php artisan migrate --force,EARLIER,Creates dental_services + dental_receipts. Both start empty.
MIGRATION,backend/database/migrations/2026_09_10_000200_create_dental_permissions.php,php artisan migrate --force,EARLIER,Inserts 15 dental permissions. Insert only.
MIGRATION,backend/database/migrations/2026_09_11_000100_add_backdate_receipts_permission.php,php artisan migrate --force,NEW,"Inserts permission backdate_receipts. SEE WARNING: gates the Date field on Ultrasound, X-Ray and Dental."
MIGRATION,backend/database/migrations/2026_09_12_000100_add_show_doctor_phone_on_prescription.php,php artisan migrate --force,NEW,"Adds boolean show_doctor_phone_on_prescription to hospital_settings, default FALSE. Prescriptions print exactly as today until switched on."
BACKEND_NEW,backend/app/Http/Controllers/Concerns/HandlesReceiptDiscounts.php,upload,EARLIER,Shared discount engine: permission gate + gross/discount/net arithmetic.
BACKEND_NEW,backend/app/Models/XrayType.php,upload,EARLIER,X-Ray study catalogue model.
BACKEND_NEW,backend/app/Http/Controllers/XrayTypeController.php,upload,EARLIER,X-Ray types CRUD.
BACKEND_NEW,backend/app/Models/DentalService.php,upload,EARLIER,Dental service catalogue model.
BACKEND_NEW,backend/app/Models/DentalReceipt.php,upload,EARLIER,Dental receipt model.
BACKEND_NEW,backend/app/Http/Controllers/DentalServiceController.php,upload,EARLIER,Dental services CRUD.
BACKEND_NEW,backend/app/Http/Controllers/DentalReceiptController.php,upload,EARLIER,Dental cash desk.
BACKEND_MODIFIED,backend/app/Services/LedgerPostingService.php,upload,EARLIER,HIGHEST RISK FILE. Room booking + ultrasound now post true gross/discount/net; adds dental snapshot methods.
BACKEND_MODIFIED,backend/app/Http/Controllers/HospitalSettingController.php,upload,NEW,Default-discount validation + gate; NEW: show_doctor_phone_on_prescription validation and default.
BACKEND_MODIFIED,backend/app/Models/HospitalSetting.php,upload,NEW,default_discount_* fillable/casts; NEW: show_doctor_phone_on_prescription fillable/cast.
BACKEND_MODIFIED,backend/app/Http/Controllers/RoomBookingController.php,upload,EARLIER,Uses discount trait; accepts discount_percentage; permission gate on store and update.
BACKEND_MODIFIED,backend/app/Services/RoomBookingService.php,upload,EARLIER,calculateCosts() takes an optional percentage; returns net_amount + discount_percentage.
BACKEND_MODIFIED,backend/app/Http/Controllers/UltrasoundExamController.php,upload,EARLIER,Uses discount trait; discount validation on store/update.
BACKEND_MODIFIED,backend/app/Http/Controllers/LabOrderController.php,upload,EARLIER,Persists net_amount + discount_percentage. Lab keeps its own lab_test_order_discount gate.
BACKEND_MODIFIED,backend/app/Http/Controllers/XrayReceiptController.php,upload,EARLIER,Validates xray_type_id scoped to the hospital.
BACKEND_MODIFIED,backend/app/Http/Controllers/DashboardController.php,upload,EARLIER,Adds total_dental_fees (sums net_amount) + dental_receipts_today + dental day-end line.
BACKEND_MODIFIED,backend/app/Http/Controllers/PaymentCollectionController.php,upload,EARLIER,Dental added to the day-end handover / collection map.
BACKEND_MODIFIED,backend/app/Models/LabOrder.php,upload,EARLIER,discount + net_amount fillable/casts.
